wrist	cổ tay
write	viết
writing	sự viết
written	viết ra, được thảo ra
writer	người viết
up	ở trên, lên trên, lên
upon	trên, ở trên
upper	cao hơn
upset	làm đổ, đánh đổ
upsetting	tính đánh đổ, làm đổ
upside down	lộn ngược
upstairs	ở tên gác.
upward	lên, hướng lên, đi lên
urban	(thuộc) thành phố, khu vực
urge	thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
urgent	gấp, khẩn cấp
us pron	chúng tôi, chúng ta; tôi và anh
use	sử dụng, dùng; sự dùng, sự sử dụng
used	đã dùng, đã sử dụng
used to sth/to doing sth	sử dụng cái gì, sử dụng để làm cái gì
used to modal	đã quen dùng
useful	hữu ích, giúp ích
useless	vô ích, vô dụng
user	người dùng, người sử dụng
usual	thông thường, thường dùng
usually	thường thường
trousers	quần
truck	rau quả tươi
true	đúng, thật
truly	đúng sự thật, đích thực, thực sự
Yours	lời kết thúc thư (bạn chân thành của...)
trust	niềm tin, sự phó thác; tin, tin cậy, phó thác
truth	sự thật
try	thử, cố gắng
tube	ống, tuýp
Tuesday	thứ 3
tune	điệu, giai điệu; lên dây, so dây (đàn)
tunnel	đường hầm, hang
turn	quay, xoay, vặn; sự quay, vòng quay
TV television	vô tuyến truyền hình
twice	hai lần
twin	sinh đôi, tạo thành cặp; cặp song sinh
twist	xoắn, cuộn, quắn; sự xoắn, vòng xoắn
twisted	được xoắn, được cuộn
type	loại, kiểu, mẫu; phân loại, xếp loại
typical	tiêu biểu, điển hình, đặc trưng
typically	điển hình, tiêu biểu
student	sinh viên
studio	xưởng phim, trường quay; phòng thu
study	sự học tập, sự nghiên cứu; học tập, nghiên cứu
stuff	chất liệu, chất
stupid	ngu ngốc, ngu đần, ngớ ngẩn
style	phong cách, kiểu, mẫu, loại
subject	chủ đề, đề tài; chủ ngữ
substance	chất liệu; bản chất; nội dung
substantial	thực tế, đáng kể, quan trọng
substantially	về thực chất, về căn bản
substitute	người, vật thay thế; thay thế
succeed	nối tiếp, kế tiếp; kế nghiệp, kế vị
success	sự thành công,, sự thành đạt
